protein	n
Q84R14	2
Q84R16	3
Q84RQ7	5
Q84TF0	2
Q84TI2	2
Q84VQ1	3
Q84VQ3	2
Q84VW0	7
Q84VW9	1
Q84VZ1	2
Q84W56	1
Q84W75	1
Q84W91	2
Q84W92	5
Q84WE4	3
Q84WJ9	2
Q84WL6	1
Q84WM9	3
Q84WS0	1
Q84WU2	7
Q84WU5	3
Q84WU8	1
Q84WU9	5
Q84WV1	6
Q84WV4	1
Q84WV5	2
Q84WV8	2
Q84WW2	1
Q84Y18	3
Q84Y95	2
Q8GRL7	3
Q8GRX2	2
Q8GSA7	2
Q8GSJ1	1
Q8GTR4	6
Q8GUG7	2
Q8GUH5	1
Q8GUL2	2
Q8GUM4	3
Q8GUM8	3
Q8GUN1	1
Q8GUN2	3
Q8GUP3	2
Q8GW13	3
Q8GW48	2
Q8GW61	5
Q8GW78	2
Q8GWB4	2
Q8GWD7	4
Q8GWE0	1
Q8GWP4	1
Q8GWT4	2
Q8GWV5	1
Q8GWW7	2
Q8GWW8	1
Q8GWY0	4
Q8GX78	2
Q8GX84	6
Q8GXB1	1
Q8GXB7	4
Q8GXC5	1
Q8GXE2	1
Q8GXH5	2
Q8GXI5	2
Q8GXN6	3
Q8GXN9	1
Q8GXR5	1
Q8GXR6	2
Q8GXS3	5
Q8GXS6	1
Q8GXU7	3
Q8GXW5	2
Q8GXW8	3
Q8GY31	3
Q8GY46	5
Q8GY89	1
Q8GYA4	3
Q8GYA6	3
Q8GYC7	1
Q8GYI7	2
Q8GYK2	1
Q8GYL5	5
Q8GYM3	3
Q8GYN5	5
Q8GYN9	1
Q8GYV3	1
Q8GYW0	2
Q8GYX9	2
Q8GZ17	1
Q8GZ22	7
Q8GZ29	6
Q8GZ87	1
Q8GZ99	4
Q8GZD4	1
Q8GZQ3	2
Q8H0S3	4
Q8H0S9	8
Q8H0U3	1
Q8H0U4	4
Q8H0U8	3
Q8H0V3	3
Q8H0V6	2
Q8H0W0	4
Q8H0W1	1
Q8H0X6	1
Q8H100	1
Q8H103	4
Q8H104	2
Q8H110	3
Q8H112	2
Q8H124	2
Q8H126	2
Q8H136	1
Q8H151	1
Q8H166	1
Q8H181	5
Q8H183	7
Q8H1E2	5
Q8H1E3	1
Q8H1F1	2
Q8H1F8	2
Q8H1G5	1
Q8H1G6	5
Q8H1Q1	1
Q8H1Q2	3
Q8H1S4	3
Q8H1Y0	8
Q8H7F6	4
Q8H960	1
Q8L3P4	5
Q8L3X8	3
Q8L466	5
Q8L493	2
Q8L4D8	2
Q8L4M1	1
Q8L4N1	3
Q8L4Q6	2
Q8L4S3	2
Q8L4Y5	3
Q8L518	1
Q8L557	3
Q8L5U0	6
Q8L5V0	5
Q8L5Y0	1
Q8L5Y4	5
Q8L5Y6	6
Q8L5Y8	2
Q8L5Z1	3
Q8L5Z4	1
Q8L5Z7	2
Q8L601	4
Q8L611	1
Q8L636	3
Q8L637	1
Q8L6Y1	6
Q8L6Z4	5
Q8L706	3
Q8L710	4
Q8L719	1
Q8L743	2
Q8L748	1
Q8L751	1
Q8L773	1
Q8L785	1
Q8L788	2
Q8L798	5
Q8L7A5	1
Q8L7A9	1
Q8L7B2	2
Q8L7B5	2
Q8L7C2	2
Q8L7C9	2
Q8L7D2	1
Q8L7D5	1
Q8L7I4	3
Q8L7K9	2
Q8L7L0	1
Q8L7L1	3
Q8L7M3	3
Q8L7N0	5
Q8L7N2	2
Q8L7S3	2
Q8L7S4	6
Q8L7S7	4
Q8L7S8	2
Q8L7T4	1
Q8L7U4	2
Q8L7U5	3
Q8L7V3	1
Q8L7W0	6
Q8L7W3	3
